Temperature (°C),Humidity (%),Precipitation (mm),Soil Moisture (%),Elevation (m),Landslide Risk Prediction
20,88,216,87,418,High
27,91,248,88,787,High
15,81,168,65,981,Moderate
34,82,33,39,394,Low
32,77,182,67,211,Moderate
15,73,200,40,648,Low
22,32,109,24,811,Low
16,49,85,33,20,Low
34,50,59,63,944,Low
34,48,14,49,96,Low
25,81,17,66,114,Low
28,64,157,58,301,Low
26,93,105,32,569,Low
16,35,156,72,716,Low
26,45,142,32,454,Low
17,88,208,47,748,Low
21,35,176,28,955,Low
17,32,81,71,185,Low
29,66,41,35,162,Low
35,88,136,22,475,Low
33,41,67,47,200,Low
15,53,22,88,931,Low
20,62,223,66,941,Low
32,51,103,71,617,Low
16,76,140,38,468,Low
27,72,181,74,476,Moderate
34,94,107,83,349,Moderate
15,40,227,69,305,Low
16,63,21,52,73,Low
27,60,116,82,57,Low
19,58,130,37,401,Low
24,53,68,85,931,Low
25,53,93,23,354,Low
16,30,228,21,76,Low
22,52,187,53,929,Low
18,53,124,76,647,Low
22,66,222,49,370,Low
22,85,41,75,426,Low
21,91,57,63,312,Low
15,63,205,26,668,Low
30,86,58,74,886,Low
15,84,214,59,26,Low
34,61,193,83,732,Low
20,65,127,25,965,Low
29,82,58,66,40,Low
24,59,50,77,963,Low
21,53,1,87,331,Low
22,65,220,71,992,Low
31,40,212,73,489,Low
26,42,175,50,975,Low
22,45,205,90,716,Low
27,62,246,30,6,Low
26,79,153,52,603,Low
32,43,229,62,574,Low
18,91,171,51,455,Low
16,37,32,74,300,Low
20,69,238,39,7,Low
33,95,202,84,627,High
16,68,129,63,564,Low
20,83,5,33,190,Low
34,53,20,76,932,Low
22,54,77,47,296,Low
22,93,212,28,409,Low
21,44,32,46,301,Low
20,91,16,73,636,Low
17,92,51,40,723,Low
27,50,178,73,533,Low
19,32,2,79,340,Low
17,82,40,51,954,Low
24,46,130,38,403,Low
23,69,74,39,160,Low
20,48,61,28,371,Low
27,95,131,63,57,Low
25,78,130,84,762,Moderate
33,82,215,21,842,Low
15,30,243,88,762,Low
16,77,165,20,974,Low
24,51,1,21,358,Low
35,48,133,75,287,Low
21,84,73,84,498,Low
19,64,124,22,485,Low
16,71,86,21,914,Low
18,43,154,24,1000,Low
15,85,115,23,822,Low
23,43,86,64,985,Low
25,72,39,83,617,Low
28,89,39,54,149,Low
18,87,76,78,524,Low
22,49,29,26,752,Low
29,88,34,55,473,Low
27,40,139,67,283,Low
25,93,62,39,455,Low
25,75,124,60,378,Low
19,94,63,61,415,Low
21,56,58,68,788,Low
16,81,197,41,321,Low
34,61,246,57,46,Low
19,44,228,43,771,Low
18,37,79,39,729,Low
15,32,229,89,852,Low
33,78,37,50,897,Low
22,37,35,24,746,Low
20,47,123,67,563,Low
15,81,45,50,627,Low
19,73,188,88,205,Moderate
23,53,157,78,852,Low
34,67,195,20,442,Low
34,91,171,51,86,Low
29,72,245,29,689,Low
27,44,233,25,907,Low
35,46,155,47,562,Low
28,60,238,20,189,Low
21,37,64,22,424,Low
21,33,218,85,586,Low
31,81,226,59,965,Low
20,56,157,72,886,Low
30,58,41,65,193,Low
29,30,172,88,622,Low
35,49,32,62,898,Low
31,39,136,58,123,Low
30,32,142,21,114,Low
27,61,4,35,583,Low
23,42,242,25,902,Low
17,93,0,89,807,Low
34,34,157,50,388,Low
25,73,13,45,449,Low
17,74,197,74,599,Moderate
34,36,92,87,444,Low
20,61,45,50,719,Low
29,57,181,62,985,Low
15,92,141,88,124,Low
26,48,68,81,118,Low
24,45,183,30,127,Low
19,63,202,86,869,Low
28,77,204,86,558,Moderate
24,66,64,49,25,Low
18,46,29,75,811,Low
19,92,78,43,49,Low
23,87,181,50,788,Low
27,62,76,43,791,Low
30,77,78,67,739,Low
23,34,143,69,201,Low
28,56,165,72,945,Low
26,93,105,59,968,Low
18,92,107,28,428,Low
26,80,7,78,83,Low
24,39,101,86,270,Low
29,55,199,69,198,Low
35,65,182,55,767,Low
24,89,180,54,728,Low
29,95,63,34,621,Low
35,76,219,21,125,Low
24,35,90,47,648,Low
28,38,196,84,24,Low
33,54,161,21,301,Low
30,33,95,48,724,Low
17,84,67,79,710,Low
26,44,236,49,511,Low
32,47,93,28,979,Low
30,74,167,66,673,Moderate
26,33,188,51,125,Low
30,94,165,57,212,Low
15,85,51,67,818,Low
34,67,178,88,465,Low
24,76,200,55,514,Low
29,32,228,23,811,Low
32,38,203,85,446,Low
27,53,197,55,134,Low
33,69,24,77,570,Low
20,93,123,32,33,Low
15,45,157,64,730,Low
30,65,112,63,68,Low
27,86,239,31,573,Low
15,57,211,77,73,Low
27,62,51,68,941,Low
29,64,68,55,722,Low
17,45,164,84,649,Low
15,59,189,41,257,Low
34,34,176,26,381,Low
17,77,143,70,16,Low
22,86,160,81,876,High
26,59,115,50,601,Low
23,41,144,67,819,Low
26,64,238,35,314,Low
16,94,60,57,730,Low
19,90,12,23,427,Low
27,51,69,34,473,Low
30,93,47,67,145,Low
27,55,125,36,102,Low
30,60,88,76,807,Low
24,56,17,79,99,Low
28,44,175,26,855,Low
16,51,189,60,317,Low
16,62,231,87,989,Low
35,54,91,90,849,Low
22,51,174,88,936,Low
25,38,56,77,677,Low
17,41,183,46,165,Low
34,51,173,80,356,Low
31,83,177,67,226,Moderate
16,79,127,20,276,Low
22,65,1,65,451,Low
24,93,79,29,47,Low
17,78,42,75,549,Low
30,68,223,57,542,Low
30,50,157,56,256,Low
15,62,140,43,524,Low
30,33,38,46,731,Low
30,87,140,42,326,Low
28,42,105,44,217,Low
27,76,72,59,669,Low
18,58,52,88,220,Low
17,95,69,64,367,Low
16,77,19,20,775,Low
17,34,205,22,349,Low
17,64,164,36,856,Low
20,75,167,58,592,Low
34,88,147,37,675,Low
33,49,187,47,835,Low
27,57,81,24,825,Low
29,55,96,24,247,Low
35,78,212,36,315,Low
16,61,99,85,909,Low
17,89,214,70,430,Moderate
18,76,170,79,433,Moderate
15,49,227,71,232,Low
35,63,106,40,212,Low
16,82,41,85,293,Low
17,58,105,58,525,Low
17,60,77,49,248,Low
31,49,53,87,549,Low
23,73,212,76,927,Moderate
25,49,243,80,533,Low
23,69,164,67,267,Low
35,43,220,28,645,Low
19,90,185,39,435,Low
29,69,80,49,922,Low
32,60,178,30,90,Low
35,38,48,29,10,Low
33,58,213,74,675,Low
18,44,243,37,266,Low
16,73,97,38,379,Low
30,91,135,60,970,Low
20,63,26,60,117,Low
35,31,117,41,384,Low
22,76,231,43,760,Low
32,61,11,39,583,Low
18,55,131,48,815,Low
27,77,151,57,600,Low
20,93,129,41,820,Low
22,89,203,84,626,High
25,83,190,63,208,Moderate
33,64,204,55,727,Low
18,39,164,77,847,Low
32,67,162,87,24,Low
24,50,149,76,459,Low
34,75,170,22,416,Low
23,34,10,87,19,Low
25,59,31,74,311,Low
30,95,33,51,930,Low
17,36,149,43,47,Low
31,41,103,45,328,Low
31,32,146,47,19,Low
31,42,49,57,907,Low
21,64,105,52,346,Low
22,79,32,60,321,Low
31,81,188,32,29,Low
27,50,82,75,168,Low
23,30,61,74,561,Low
34,75,148,20,980,Low
31,60,238,81,166,Low
22,65,144,32,394,Low
26,80,247,72,563,Moderate
35,60,1,62,605,Low
28,93,233,21,872,Low
30,87,67,90,774,Low
34,44,22,48,51,Low
17,54,8,21,871,Low
22,85,22,56,567,Low
21,91,80,21,265,Low
23,95,93,45,97,Low
19,86,225,75,665,High
19,68,76,65,81,Low
19,75,131,80,262,Moderate
16,30,22,88,356,Low
19,83,53,36,549,Low
19,39,225,49,607,Low
16,62,186,75,483,Low
24,58,95,21,395,Low
28,81,4,68,347,Low
17,53,79,63,900,Low
27,55,149,86,87,Low
30,76,144,77,207,Moderate
18,41,46,34,352,Low
19,84,119,61,453,Moderate
19,86,231,52,396,Low
23,41,163,44,23,Low
31,31,144,86,770,Low
30,32,26,29,361,Low
17,66,109,35,855,Low
17,34,191,81,728,Low
34,61,217,57,129,Low
16,64,38,52,993,Low
23,93,132,58,601,Low
22,63,41,26,704,Low
30,55,193,71,204,Low
34,94,71,58,177,Low
35,79,245,88,284,Moderate
20,58,182,53,295,Low
21,68,69,86,810,Low
16,76,92,84,459,Moderate
17,56,50,40,283,Low
19,49,207,72,570,Low
27,80,166,44,283,Low
21,72,22,23,981,Low
20,60,15,82,216,Low
28,95,45,40,874,Low
32,64,24,46,251,Low
23,86,105,53,429,Low
33,51,154,26,805,Low
18,94,103,63,130,Low
22,53,27,40,997,Low
27,46,163,31,151,Low
29,57,103,78,629,Low
16,55,14,44,153,Low
18,42,50,58,929,Low
26,48,135,87,490,Low
20,41,235,48,573,Low
32,48,74,86,66,Low
15,71,98,47,158,Low
26,94,24,42,835,Low
30,80,109,73,879,Moderate
20,91,194,85,871,High
30,77,49,86,665,Low
26,44,115,68,293,Low
35,77,86,77,439,Moderate
18,77,131,52,683,Low
28,39,90,57,299,Low
31,50,178,54,356,Low
23,46,23,60,893,Low
28,72,119,62,327,Moderate
31,62,69,45,557,Low
28,74,143,87,792,Moderate
27,68,242,48,233,Low
35,42,10,25,996,Low
15,43,62,89,960,Low
26,64,164,34,369,Low
23,32,160,56,779,Low
26,45,190,24,709,Low
16,69,86,86,386,Low
32,45,222,68,477,Low
27,57,118,65,160,Low
21,46,26,25,508,Low
32,73,238,35,897,Low
17,60,54,52,154,Low
32,84,111,43,937,Low
26,84,81,78,8,Low
16,62,86,30,674,Low
29,72,235,31,401,Low
22,66,219,55,383,Low
27,55,121,48,344,Low
23,47,88,60,890,Low
24,50,92,42,41,Low
33,89,220,44,725,Low
29,83,231,41,634,Low
16,70,57,30,571,Low
25,59,172,75,964,Low
22,56,243,89,843,Low
32,52,127,44,271,Low
29,61,17,78,147,Low
27,43,232,21,480,Low
25,53,75,44,749,Low
30,76,133,84,359,Moderate
17,82,73,68,902,Low
15,38,160,38,236,Low
28,87,184,82,912,High
17,49,72,81,970,Low
19,84,237,64,225,Moderate
18,52,212,62,733,Low
21,46,49,56,411,Low
25,61,241,74,850,Low
30,90,6,55,569,Low
17,75,46,83,480,Low
32,69,109,23,292,Low
19,51,124,70,818,Low
16,76,60,72,323,Low
29,38,235,44,21,Low
32,94,232,89,861,High
29,41,226,37,751,Low
30,54,191,35,453,Low
21,35,68,45,956,Low
17,33,146,70,293,Low
35,41,112,28,316,Low
20,88,51,26,318,Low
33,47,99,25,438,Low
31,57,230,35,231,Low
33,40,164,73,488,Low
28,87,59,35,724,Low
28,40,201,31,667,Low
22,39,203,88,576,Low
31,61,51,82,878,Low
18,39,249,58,569,Low
33,68,212,59,870,Low
21,69,134,59,383,Low
34,78,239,58,638,Low
35,44,176,29,179,Low
26,82,157,66,492,Moderate
35,81,129,25,257,Low
26,52,215,33,509,Low
31,79,204,53,194,Low
32,83,170,62,770,Moderate
21,60,36,70,192,Low
15,81,52,79,441,Low
20,50,188,83,857,Low
25,93,139,72,830,High
26,47,209,33,595,Low
22,32,149,30,286,Low
18,86,71,66,22,Low
16,60,58,74,684,Low
26,48,93,26,848,Low
19,72,244,88,918,Moderate
34,73,226,74,427,Moderate
31,47,79,30,224,Low
19,30,124,73,749,Low
18,42,215,27,620,Low
25,41,45,61,322,Low
26,44,189,61,531,Low
16,87,126,51,670,Low
26,74,66,73,895,Low
31,48,159,41,781,Low
34,84,159,46,237,Low
28,54,110,37,383,Low
15,78,208,88,373,Moderate
15,52,163,23,472,Low
23,36,183,90,24,Low
30,58,74,71,969,Low
29,46,92,80,634,Low
26,42,214,34,880,Low
23,39,150,69,522,Low
31,51,26,56,102,Low
29,78,124,78,637,Moderate
34,92,140,45,831,Low
25,54,63,60,675,Low
21,34,247,44,816,Low
22,42,213,85,606,Low
18,54,204,61,423,Low
26,64,230,83,807,Low
30,91,57,21,757,Low
23,32,59,83,25,Low
24,38,55,75,674,Low
18,89,15,47,453,Low
28,92,90,51,592,Low
15,40,2,32,280,Low
34,40,165,73,924,Low
22,66,21,32,91,Low
31,39,218,23,179,Low
25,34,189,58,144,Low
29,49,224,77,814,Low
17,30,13,86,533,Low
21,34,75,26,97,Low
20,45,230,52,515,Low
27,63,3,77,903,Low
18,33,116,58,271,Low
17,69,102,58,523,Low
16,47,123,32,610,Low
29,61,90,72,601,Low
22,57,72,90,378,Low
21,72,181,67,915,Moderate
28,80,201,61,104,Low
17,39,147,72,696,Low
34,84,89,44,531,Low
24,71,245,30,640,Low
31,77,72,44,683,Low
28,33,154,25,105,Low
23,50,178,54,872,Low
17,78,78,69,946,Low
19,78,181,77,92,Low
28,32,214,21,869,Low
31,39,35,40,566,Low
21,83,248,45,921,Low
16,63,4,44,429,Low
16,77,137,80,476,Moderate
19,65,101,77,876,Low
31,71,189,69,19,Low
15,47,113,56,256,Low
29,35,163,71,269,Low
31,66,1,46,133,Low
31,30,20,22,351,Low
29,37,9,21,498,Low
16,92,144,78,793,High
18,33,177,27,644,Low
35,83,205,70,802,Moderate
28,38,133,58,801,Low
35,77,202,31,461,Low
21,68,146,49,446,Low
21,48,174,49,610,Low
30,74,50,43,244,Low
17,74,80,67,118,Low
28,73,33,46,2,Low
24,44,171,58,382,Low
26,54,33,62,14,Low
24,64,144,44,635,Low
17,88,26,61,249,Low
15,57,99,33,631,Low
23,46,197,56,427,Low
27,79,105,32,386,Low
33,54,144,80,536,Low
31,91,18,73,839,Low
24,75,204,60,813,Low
21,35,30,43,282,Low
30,69,70,28,291,Low
20,95,38,24,883,Low
27,73,123,33,652,Low
33,87,219,78,916,High
19,52,162,69,200,Low
27,89,59,65,767,Low
33,83,96,47,346,Low
28,30,237,34,290,Low
23,35,119,80,191,Low
21,69,23,31,436,Low
16,45,71,76,613,Low
31,33,112,66,348,Low
23,60,228,70,419,Low
18,91,123,55,627,Low
25,95,175,79,439,High
34,68,244,45,651,Low
21,78,174,79,215,Moderate
31,30,37,72,10,Low
21,67,140,60,978,Low
32,34,218,46,863,Low
28,89,157,36,861,Low
35,46,197,29,999,Low
17,76,31,55,375,Low
22,64,75,52,283,Low
32,56,136,49,286,Low
25,60,152,59,616,Low
17,37,103,26,460,Low
15,65,109,62,119,Low
26,63,59,25,58,Low
22,80,6,63,503,Low
35,63,244,63,118,Low
26,76,184,41,728,Low
25,81,99,72,219,Moderate
24,71,5,90,723,Low
34,83,50,58,135,Low
15,66,75,45,17,Low
21,73,44,49,603,Low
15,77,191,63,737,Moderate
24,35,221,32,10,Low
32,65,159,68,619,Low
29,73,41,69,266,Low
15,91,96,25,80,Low
25,71,193,41,173,Low
22,81,28,68,721,Low
18,83,14,79,563,Low
17,33,41,34,142,Low
31,45,99,71,604,Low
19,45,60,73,406,Low
18,54,218,74,260,Low
29,62,130,31,289,Low
34,53,213,33,942,Low
16,60,67,77,907,Low
29,59,159,37,109,Low
21,52,66,38,54,Low
30,44,31,27,598,Low
29,79,191,26,641,Low
19,57,70,47,899,Low
30,72,219,45,95,Low
27,69,191,22,673,Low
19,53,90,88,232,Low
35,44,198,85,351,Low
27,65,176,51,417,Low
31,44,142,24,115,Low
31,64,135,34,307,Low
34,47,53,45,274,Low
35,74,15,81,135,Low
34,56,56,26,736,Low
19,82,233,29,117,Low
26,65,204,39,337,Low
34,54,217,61,461,Low
19,43,206,21,724,Low
35,40,115,76,606,Low
21,41,98,79,714,Low
15,95,97,46,219,Low
24,51,237,71,534,Low
22,76,99,78,668,Moderate
30,35,191,62,140,Low
15,59,210,57,663,Low
22,51,3,26,478,Low
17,74,237,52,21,Low
17,37,249,38,627,Low
19,61,62,46,351,Low
30,39,113,67,28,Low
29,44,187,45,707,Low
19,95,81,90,451,Moderate
19,84,24,44,46,Low
24,55,57,35,684,Low
16,80,194,74,938,Moderate
22,81,103,83,100,Low
35,74,128,85,357,Moderate
23,61,89,29,714,Low
28,56,243,24,20,Low
22,55,191,77,806,Low
31,68,12,23,19,Low
28,75,100,67,374,Moderate
15,40,146,43,154,Low
19,41,237,23,492,Low
33,95,118,54,319,Low
34,94,198,37,213,Low
15,55,83,38,660,Low
17,63,246,59,954,Low
21,61,94,29,299,Low
33,45,242,71,290,Low
33,42,5,88,170,Low
21,95,56,51,817,Low
33,62,167,90,196,Low
17,68,197,82,608,Low
35,62,169,60,421,Low
21,55,18,55,376,Low
19,73,86,63,878,Moderate
17,45,93,58,732,Low
21,42,161,44,653,Low
30,65,202,83,754,Low
31,83,210,41,491,Low
20,82,75,83,526,Low
35,80,84,47,12,Low
22,42,211,57,262,Low
33,87,228,56,858,Low
34,34,71,37,466,Low
25,48,226,46,795,Low
24,81,163,27,432,Low
31,45,17,46,486,Low
32,45,188,73,349,Low
18,63,134,77,484,Low
23,90,34,53,70,Low
28,61,17,45,452,Low
22,74,12,75,832,Low
26,90,236,87,522,High
34,65,88,76,493,Low
18,57,81,60,202,Low
32,89,121,55,727,Low
23,46,36,30,925,Low
18,80,169,20,597,Low
29,66,174,42,706,Low
30,31,95,24,637,Low
31,58,152,52,553,Low
18,84,35,56,831,Low
19,60,197,21,727,Low
19,35,104,43,413,Low
28,88,50,48,465,Low
17,77,157,63,891,Moderate
19,46,231,50,727,Low
29,95,85,90,631,Moderate
30,30,154,54,828,Low
33,79,161,31,277,Low
22,66,45,57,774,Low
17,51,27,23,511,Low
22,59,133,52,1,Low
29,64,127,69,953,Low
21,80,200,83,118,Low
22,39,167,52,228,Low
24,35,232,58,903,Low
17,80,150,83,482,Moderate
19,83,178,41,167,Low
23,42,25,36,837,Low
27,95,47,88,835,Low
28,56,164,25,767,Low
26,75,223,49,118,Low
15,71,23,51,976,Low
22,72,104,88,149,Low
18,86,75,47,875,Low
30,45,184,63,181,Low
23,93,127,88,759,High
18,48,21,54,674,Low
29,60,58,68,568,Low
29,34,127,20,645,Low
15,79,182,88,477,Moderate
15,39,144,67,403,Low
16,42,75,27,88,Low
16,64,31,74,874,Low
26,39,199,50,109,Low
21,94,19,40,231,Low
19,93,195,33,830,Low
18,94,168,72,835,High
35,41,49,41,375,Low
23,79,150,26,915,Low
32,43,196,58,552,Low
32,71,79,88,929,Low
24,32,143,50,507,Low
19,62,14,26,807,Low
29,81,53,52,405,Low
22,31,65,38,512,Low
15,76,100,89,62,Low
18,39,215,55,339,Low
26,51,104,73,720,Low
30,52,235,76,475,Low
23,39,59,63,22,Low
26,69,93,38,271,Low
28,81,124,43,192,Low
35,69,250,33,20,Low
33,93,34,63,305,Low
17,41,39,85,133,Low
26,60,236,52,70,Low
32,47,195,24,240,Low
32,44,123,21,965,Low
31,39,225,83,540,Low
28,39,4,20,146,Low
33,56,144,54,962,Low
16,79,141,58,360,Low
35,72,27,44,796,Low
28,37,24,62,364,Low
20,95,3,33,842,Low
30,60,104,62,480,Low
17,64,76,73,297,Low
18,44,25,82,63,Low
19,47,107,26,498,Low
30,40,98,75,683,Low
21,67,25,88,517,Low
32,90,218,24,827,Low
15,79,155,80,538,Moderate
25,38,139,34,293,Low
32,35,46,86,803,Low
26,74,174,58,83,Low
29,79,43,67,28,Low
35,50,242,78,882,Low
25,57,125,71,685,Low
24,59,166,28,659,Low
33,46,78,29,407,Low
15,85,7,33,491,Low
23,32,58,25,905,Low
29,50,119,83,372,Low
29,52,197,43,728,Low
15,67,136,74,734,Low
27,62,65,28,244,Low
27,77,203,80,545,Moderate
18,77,117,84,339,Moderate
18,86,250,64,218,Moderate
18,60,128,79,617,Low
31,68,160,58,658,Low
28,31,184,63,452,Low
21,92,15,63,732,Low
28,94,4,45,234,Low
20,35,176,44,260,Low
33,72,144,33,563,Low
33,32,184,73,830,Low
25,92,231,72,194,Low
20,34,145,68,731,Low
23,85,73,72,530,Low
18,85,59,55,573,Low
18,49,39,85,8,Low
22,40,51,90,696,Low
18,94,147,23,349,Low
34,76,236,55,964,Low
23,91,78,55,400,Low
25,61,126,51,3,Low
28,60,144,73,10,Low
17,32,107,54,539,Low
34,38,7,68,92,Low
17,55,155,60,708,Low
22,73,242,44,795,Low
23,55,54,62,555,Low
26,59,58,87,464,Low
25,91,239,36,415,Low
30,53,25,32,163,Low
26,70,157,58,527,Low
22,56,37,39,746,Low
20,46,202,57,166,Low
21,88,39,46,814,Low
15,43,28,87,107,Low
24,84,155,88,11,Low
32,43,236,78,564,Low
18,31,49,69,246,Low
28,46,199,44,912,Low
34,47,143,26,94,Low
24,84,25,26,654,Low
34,78,194,79,718,Moderate
29,66,48,71,323,Low
22,75,234,32,213,Low
21,49,137,69,143,Low
35,71,9,31,498,Low
20,47,95,47,206,Low
35,44,51,41,909,Low
22,89,216,34,737,Low
27,88,161,26,667,Low
28,75,5,30,3,Low
33,59,110,74,356,Low
33,68,144,56,395,Low
35,70,104,62,215,Low
19,56,189,35,849,Low
22,48,14,34,810,Low
26,68,163,70,846,Low
34,45,162,57,714,Low
22,47,15,30,258,Low
21,40,154,62,95,Low
24,66,10,42,507,Low
15,46,146,51,760,Low
29,40,144,52,30,Low
28,39,180,33,620,Low
20,49,33,64,514,Low
30,39,142,35,876,Low
25,84,109,81,806,Moderate
22,42,106,58,501,Low
19,94,248,22,815,Low
28,65,38,49,887,Low
16,91,106,48,729,Low
15,40,58,84,700,Low
22,75,209,78,817,Moderate
35,77,104,23,770,Low
26,82,228,82,4,Low
27,40,215,70,392,Low
20,44,91,53,849,Low
22,34,23,62,770,Low
20,75,180,37,795,Low
26,79,88,82,695,Moderate
30,78,39,87,557,Low
34,67,157,62,371,Low
29,66,171,33,143,Low
32,30,168,50,770,Low
29,95,245,35,130,Low
16,77,175,56,261,Low
28,84,80,80,473,Low
33,75,108,40,116,Low
21,57,11,55,769,Low
15,32,246,30,972,Low
17,39,52,45,655,Low
27,52,104,40,280,Low
32,56,48,79,192,Low
28,42,104,37,403,Low
21,57,52,53,984,Low
21,56,176,70,324,Low
17,66,203,23,512,Low
35,30,171,82,806,Low
34,82,4,70,465,Low
16,51,95,37,226,Low
23,72,62,65,573,Low
25,41,23,40,284,Low
21,40,3,41,234,Low
26,53,111,29,257,Low
33,55,182,70,304,Low
24,60,116,88,351,Low
15,40,174,82,307,Low
20,67,17,54,84,Low
21,33,56,65,852,Low
17,55,241,30,53,Low
27,39,110,81,466,Low
20,88,6,39,53,Low
23,30,229,64,859,Low
32,61,187,21,556,Low
29,61,233,77,652,Low
23,34,97,69,84,Low
25,88,58,23,522,Low
34,95,2,20,359,Low
32,31,96,51,511,Low
31,72,52,60,692,Low
33,48,43,27,853,Low
26,34,9,26,709,Low
35,76,124,49,44,Low
20,43,75,35,100,Low
28,91,225,51,45,Low
23,84,54,39,678,Low
21,84,193,40,370,Low
34,46,121,81,646,Low
28,41,55,85,98,Low
20,70,104,53,116,Low
18,84,158,46,898,Low
28,67,144,21,284,Low
23,74,181,29,837,Low
17,94,15,48,985,Low
32,95,179,42,856,Low
17,30,243,37,455,Low
30,91,180,64,632,Moderate
21,30,26,62,878,Low
24,41,118,30,394,Low
18,60,211,64,427,Low
32,82,137,48,452,Low
30,39,167,26,350,Low
22,32,111,49,475,Low
18,48,23,69,859,Low
21,76,155,52,645,Low
33,78,211,61,446,Moderate
28,62,145,26,483,Low
28,89,168,34,310,Low
33,73,123,52,116,Low
34,40,243,22,62,Low
30,79,249,87,939,Moderate
18,54,94,82,671,Low
35,67,146,62,149,Low
17,95,156,30,763,Low
18,65,116,53,36,Low
25,84,106,24,570,Low
35,91,171,28,385,Low
35,71,157,57,171,Low
21,76,227,81,85,Low
33,33,84,82,110,Low
35,84,166,36,198,Low
31,93,174,30,490,Low
21,42,156,54,932,Low
34,59,93,67,19,Low
17,37,61,47,527,Low
28,50,75,90,892,Low
19,54,105,38,915,Low
22,69,217,20,137,Low
28,68,232,50,627,Low
34,55,199,78,498,Low
24,33,71,36,983,Low
16,71,183,37,8,Low
15,66,125,70,482,Low
33,63,10,39,507,Low
31,75,112,85,39,Low
32,70,94,61,61,Low
19,52,28,80,968,Low
22,47,136,88,246,Low
30,36,129,61,779,Low
27,31,101,21,421,Low
30,39,105,32,756,Low
20,79,100,74,754,Moderate
35,51,221,76,691,Low
17,83,69,32,902,Low
15,48,142,71,921,Low
16,67,157,67,458,Low
21,71,129,62,970,Moderate
27,92,107,46,770,Low
32,63,95,33,592,Low
35,88,169,47,689,Low
23,53,234,35,584,Low
34,46,64,47,278,Low
21,87,213,63,35,Low
27,91,60,29,178,Low
20,50,193,80,458,Low
22,44,189,44,929,Low
16,50,151,34,592,Low
19,73,51,73,465,Low
19,51,51,72,736,Low
22,42,72,61,947,Low
15,74,66,45,941,Low
23,82,216,25,772,Low
18,68,239,78,407,Low
19,93,177,49,975,Low
35,32,131,70,149,Low
18,68,135,36,659,Low
32,43,175,73,999,Low
29,53,79,35,102,Low
18,49,124,50,788,Low
25,43,13,27,142,Low
21,82,31,40,721,Low
24,63,203,73,452,Low
25,93,53,84,797,Low
30,37,30,90,487,Low
15,39,191,44,529,Low
28,88,228,29,319,Low
33,39,215,20,727,Low
18,40,195,56,139,Low
15,32,51,38,994,Low
32,71,232,83,87,Low
35,32,108,55,749,Low
18,57,175,83,987,Low
27,72,194,39,247,Low
33,86,79,64,506,Low
31,94,145,89,283,Moderate
25,50,112,26,149,Low
35,49,218,59,245,Low
25,32,107,58,306,Low
17,32,199,31,980,Low
34,56,78,50,21,Low
23,61,58,42,614,Low
31,32,135,69,347,Low
32,74,208,59,818,Low
33,60,191,26,3,Low
25,34,183,28,850,Low
28,45,140,48,303,Low
26,40,121,82,375,Low
33,31,154,84,774,Low
26,55,104,23,18,Low
17,84,231,43,938,Low
25,60,10,57,330,Low
22,81,150,25,906,Low
22,37,238,32,278,Low
22,47,65,40,707,Low
35,57,69,64,226,Low
22,80,70,31,741,Low
19,36,190,47,605,Low
33,38,193,74,245,Low
18,31,229,65,579,Low
27,95,247,74,846,High
30,82,185,76,0,Low
18,52,152,66,721,Low
25,87,243,67,73,Low
21,52,118,75,772,Low
32,58,104,24,86,Low
16,79,167,32,466,Low
16,74,227,85,291,Moderate
22,71,1,56,329,Low
19,32,69,48,327,Low
33,67,155,75,242,Low
23,57,192,43,213,Low
16,68,132,20,685,Low
18,62,29,50,943,Low
17,54,216,29,993,Low
28,68,129,31,80,Low
28,60,133,57,535,Low
16,63,205,55,129,Low
35,75,212,85,765,Moderate
25,43,44,35,146,Low
30,66,103,64,257,Low
32,54,248,71,936,Low
18,33,117,82,961,Low
32,74,10,30,462,Low
29,33,157,72,922,Low
21,94,16,85,944,Low
27,43,208,20,400,Low
35,50,223,78,324,Low
17,46,108,40,944,Low
27,84,7,37,624,Low
25,61,160,83,38,Low
23,47,216,27,749,Low
34,66,33,78,881,Low
16,51,13,25,5,Low
28,49,55,23,621,Low
24,91,153,40,349,Low
35,37,137,78,163,Low
33,34,189,24,84,Low
21,40,90,46,974,Low
24,73,55,67,47,Low
34,90,20,32,251,Low
32,77,19,80,745,Low
30,40,122,55,273,Low
20,40,169,21,45,Low
16,59,72,59,922,Low
27,50,193,41,712,Low
18,80,231,81,301,Moderate
34,35,177,59,340,Low
31,33,213,71,119,Low
33,94,153,41,436,Low
34,80,79,57,107,Low
28,61,215,63,102,Low
16,87,58,87,483,Low
28,70,124,66,66,Low
35,42,70,55,740,Low
15,82,94,47,286,Low
25,69,84,77,539,Low
28,47,191,64,793,Low
16,65,1,87,179,Low
33,48,82,72,209,Low
31,87,131,48,750,Low
29,45,5,51,855,Low
21,47,233,64,156,Low
22,35,72,28,843,Low
30,95,78,34,337,Low
22,54,124,82,443,Low
27,66,130,70,796,Low
23,30,123,84,134,Low
18,55,65,52,514,Low
26,40,231,45,722,Low
30,30,39,69,857,Low
20,50,123,20,798,Low
34,55,44,28,243,Low
22,82,183,86,928,Moderate
21,68,239,68,941,Low
20,92,223,46,537,Low
18,65,53,73,872,Low
26,66,240,69,330,Low
34,71,91,61,619,Moderate
30,92,1,68,184,Low
